trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",20,0,-98.94214467602448,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.8309406791001634}",20,0,-41.36783569228968,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-71.92971413060022,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",20,15,3.8167706218008703,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",20,9,-0.9959196398154833,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",30,0,-116.69174482650945,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",30,1,-67.00947793369382,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.7960837985490559}",25,0,-158.01750882327627,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",30,17,-27.214516485095487,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",20,0,-107.46236876396637,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",30,0,-153.8641352708728,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-48.7683561683545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-75.55787368075458,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",20,5,-22.054694521443437,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-165.18856656968472,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,0,-137.32502027874958,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",20,0,-20.790692460924245,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-84.40538302491106,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",25,10,-16.196067757136206,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",25,0,-253.43184315706569,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",30,3,-98.83501111960258,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.7038453156522362}",20,0,-93.13906326203306,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.6967067093471655}",25,17,8.114152138581396,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6894984329517471}",25,0,-173.68105829930556,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.6822212072876136}",20,0,-19.72468491891197,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6748757600712672}",20,0,-179.70869684514818,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.6674628258413082}",30,12,-134.1350434215712,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.6599831458849822}",20,0,-86.08652679914272,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",30,5,-9.386771132079614,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6448265472400012}",30,0,-6.502850715057043,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.6371511441985802}",20,5,16.6526800676665,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.6294120265736969}",20,0,-33.820050392438475,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,11,-35.35467580695743,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.6137457494888116}",25,14,-44.34974629027132,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.6058201566434629}",20,0,-9.44993831621479,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",30,0,-36.495193528910036,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5897880250310983}",20,16,9.53139324776608,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",30,8,7.082193576855153,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",25,1,-165.51937025190404,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 4}",1
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",25,0,-152.5422390464578,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",30,17,-40.42368284068987,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.5486898605815876}",25,0,-75.83650609833883,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,5,-51.289369158759335,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,14,8.612539795418737,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5233659512516496}",30,0,-121.306908258926,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",30,0,-18.365622966042558,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,13,-95.55210687374836,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.497571047891727}",20,0,-11.21752773028132,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.48887208186052755}",25,12,-53.52779705710144,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.48012422902853413}",25,0,-51.83960838734118,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",25,0,-79.90790751817813,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
